rainfall,year,month,country
232.747,2006,1,Peru
198.38,2006,2,Peru
209.435,2006,3,Peru
160.209,2006,4,Peru
133.984,2006,5,Peru
125.193,2006,6,Peru
55.9922,2006,7,Peru
84.1931,2006,8,Peru
60.531,2006,9,Peru
127.315,2006,10,Peru
186.803,2006,11,Peru
189.826,2006,12,Peru
170.372,2007,1,Peru
143.098,2007,2,Peru
228.503,2007,3,Peru
153.251,2007,4,Peru
163.12,2007,5,Peru
58.0746,2007,6,Peru
73.7088,2007,7,Peru
63.343,2007,8,Peru
84.3281,2007,9,Peru
138.679,2007,10,Peru
204.62,2007,11,Peru
167.067,2007,12,Peru
256.593,2008,1,Peru
241.108,2008,2,Peru
211.871,2008,3,Peru
140.228,2008,4,Peru
98.5092,2008,5,Peru
83.96,2008,6,Peru
71.41,2008,7,Peru
69.7856,2008,8,Peru
101.419,2008,9,Peru
152.755,2008,10,Peru
137.177,2008,11,Peru
116.843,2008,12,Peru
221.85,2009,1,Peru
209.456,2009,2,Peru
203.284,2009,3,Peru
144.001,2009,4,Peru
83.5915,2009,5,Peru
83.2588,2009,6,Peru
66.6214,2009,7,Peru
59.4567,2009,8,Peru
66.4651,2009,9,Peru
92.732,2009,10,Peru
129.194,2009,11,Peru
247.844,2009,12,Peru
151.82,2010,1,Peru
187.85,2010,2,Peru
158.718,2010,3,Peru
122.295,2010,4,Peru
106.545,2010,5,Peru
61.3388,2010,6,Peru
77.3959,2010,7,Peru
40.2867,2010,8,Peru
48.7719,2010,9,Peru
102.95,2010,10,Peru
133.426,2010,11,Peru
161.774,2010,12,Peru
143.411,2011,1,Peru
270.697,2011,2,Peru
158.511,2011,3,Peru
149.623,2011,4,Peru
113.212,2011,5,Peru
75.0313,2011,6,Peru
106.554,2011,7,Peru
27.0087,2011,8,Peru
104.085,2011,9,Peru
96.7206,2011,10,Peru
151.867,2011,11,Peru
208.655,2011,12,Peru
168.764,2012,1,Peru
200.582,2012,2,Peru
169.094,2012,3,Peru
143.411,2012,4,Peru
69.24,2012,5,Peru
66.2115,2012,6,Peru
54.025,2012,7,Peru
24.8253,2012,8,Peru
68.3535,2012,9,Peru
99.5201,2012,10,Peru
109.734,2012,11,Peru
191.148,2012,12,Peru
171.993,2013,1,Peru
228.161,2013,2,Peru
140.612,2013,3,Peru
80.2696,2013,4,Peru
112.563,2013,5,Peru
118.499,2013,6,Peru
75.5839,2013,7,Peru
78.4017,2013,8,Peru
74.5302,2013,9,Peru
145.316,2013,10,Peru
143.218,2013,11,Peru
152.09,2013,12,Peru
159.064,2014,1,Peru
149.26,2014,2,Peru
193.848,2014,3,Peru
172.672,2014,4,Peru
91.7503,2014,5,Peru
74.1397,2014,6,Peru
71.6753,2014,7,Peru
77.6913,2014,8,Peru
83.2653,2014,9,Peru
108.853,2014,10,Peru
127.26,2014,11,Peru
174.069,2014,12,Peru
154.384,2015,1,Peru
182.306,2015,2,Peru
187.539,2015,3,Peru
179.837,2015,4,Peru
109.179,2015,5,Peru
68.5707,2015,6,Peru
102.385,2015,7,Peru
58.217,2015,8,Peru
57.6487,2015,9,Peru
64.1029,2015,10,Peru
99.1171,2015,11,Peru
151.336,2015,12,Peru
